Date,SF,SF_lo,SF_hi,FF,FF_lo,FF_hi,FG,FG_lo,FG_hi,GP,GP_lo,GP_hi,LAB,LAB_lo,LAB_hi,SD,SD_lo,SD_hi,SPBP,SPBP_lo,SPBP_hi,AU,AU_lo,AU_hi,OTH,OTH_lo,OTH_hi
23/02/2020,0.272789459,0.256818075,0.291047917,0.19446253,0.169815143,0.216665535,0.232984441,0.212631982,0.252072985,0.066480835,0.053610479,0.079602961,0.039466854,0.030946548,0.04697989,0.030572182,0.024562019,0.037174189,0.028099972,0.022558867,0.035039166,0.018426112,0.013958388,0.022965974,0.116717615,0.097913423,0.138435163
24/02/2020,0.273336867,0.257085226,0.292243323,0.19457688,0.169532004,0.217462872,0.235245634,0.214812107,0.255506112,0.066258464,0.052842778,0.080287033,0.039342242,0.030675566,0.047448065,0.030398426,0.024312339,0.036910702,0.027939669,0.022238192,0.034996059,0.018170105,0.013652432,0.022818879,0.114731713,0.095515289,0.137073734
25/02/2020,0.273865212,0.257141364,0.293149836,0.19463029,0.168933976,0.218401683,0.237450355,0.21534891,0.259213915,0.066034928,0.051895082,0.079901987,0.039187519,0.030537396,0.047394317,0.030198688,0.024136195,0.036669354,0.027790389,0.02212825,0.034737728,0.017943421,0.013462384,0.022822067,0.1128992,0.092886374,0.137024621
26/02/2020,0.274397304,0.257502831,0.293792285,0.194669431,0.168093069,0.219160899,0.239603376,0.216758914,0.26113159,0.065770243,0.05193084,0.080112911,0.039053679,0.030250343,0.047241492,0.030018681,0.023735733,0.036645817,0.027634505,0.021916126,0.034720477,0.01771429,0.013106579,0.022486357,0.111138491,0.09042174,0.134878752
27/02/2020,0.27486481,0.257646529,0.294303437,0.194699918,0.168150088,0.219917486,0.241890469,0.219936819,0.264278441,0.065535857,0.051084001,0.080573021,0.038909044,0.030009064,0.047265986,0.029833747,0.023498542,0.036710486,0.027485717,0.021573254,0.03464341,0.017479518,0.01285931,0.022259769,0.109300919,0.087987579,0.133411725
28/02/2020,0.275483829,0.25778682,0.295028916,0.194572618,0.168128614,0.2202843,0.244203388,0.221077419,0.267150214,0.065319315,0.050962988,0.080466039,0.038794153,0.029564009,0.047212065,0.029615336,0.023280255,0.036492934,0.027331931,0.021501018,0.034627153,0.017252796,0.012513035,0.022100924,0.107426635,0.086024273,0.131547363
29/02/2020,0.275969205,0.258442369,0.295707448,0.194562156,0.167740349,0.220238886,0.246542889,0.222580839,0.27041358,0.065001642,0.050278268,0.080720802,0.038655731,0.029467339,0.047158212,0.029410533,0.022973818,0.036327981,0.027177899,0.02118173,0.034587522,0.017041247,0.012324118,0.021695884,0.105638696,0.084505379,0.130133487
01/03/2020,0.276475687,0.258853675,0.295972746,0.194564449,0.167870537,0.220456937,0.248817532,0.225065952,0.27252977,0.064658247,0.049899374,0.080046441,0.038492508,0.029075277,0.047022977,0.029180846,0.022750627,0.035972595,0.027028182,0.020829596,0.034051909,0.016788875,0.01204187,0.021497209,0.103993673,0.082995156,0.128526566
02/03/2020,0.277006145,0.258955179,0.296406401,0.194629308,0.16764742,0.220615192,0.25107279,0.226507573,0.274657009,0.064394974,0.049291451,0.080152731,0.038277785,0.028980245,0.046960519,0.028973155,0.0224628,0.035683102,0.026864562,0.020695519,0.034071162,0.016538989,0.012007951,0.021134005,0.102242292,0.080719513,0.126177829
03/03/2020,0.277589538,0.259316462,0.297098798,0.194492533,0.168498943,0.220237101,0.253381414,0.228988692,0.277571221,0.064141221,0.048741438,0.079687867,0.038109301,0.028760224,0.046820348,0.028766986,0.022180774,0.035530271,0.026697711,0.020747399,0.033882214,0.016324378,0.011666112,0.020820128,0.100496919,0.078701739,0.123719185
